,Name,Year,WarName,Interstate_orCivil,ExtraDetail
1,Siege of Antwerp ,1914,World War I,0,
2,Siege of Maubeuge ,1914,World War I,0,
3,Siege of Przemyśl ,1914–1915,World War I,0,
4,Siege of Medina ,1916–1919,World War I,0,
5,Battle of Jerusalem ,1917,World War I,0,
6,Siege of the Alcázar ,1936,Spanish Civil War,1,Second Spanish Republic militias besieged the Alcázar of Toledo in the Spanish Civil War
7,Siege of Gijon ,1936,Spanish Civil War,1,
8,Siege of Oviedo ,1936,Spanish Civil War,1,
9,Siege of Madrid ,1936–1939,Spanish Civil War,1,
10,Siege Dunkirk ,1940,World War II,0,
11,Siege of Malta ,1940—1943,World War II,0,
12,Siege of Tobruk ,1941,World War II,0,
13,Siege of Odessa ,1941,World War II,0,
14,Siege of Sevastopol ,1941–1942,World War II,0,
15,Siege of Leningrad ,1941–1944,World War II,0,"also known as the 900-Day Siege, probably the most gruesome in history, World War II."
16,Siege of Stalingrad ,1942–1943,World War II,0,
17,Siege of Dunkirk ,1944–1945,World War II,0,
18,Siege of Budapest ,1944–1945,World War II,0,
19,Siege of Monte Cassino ,1944,World War II,0,
20,Siege of Saint-Lô ,1944,World War II,0,
21,Siege of Bastogne ,1944,World War II,0,
22,Siege of La Rochelle ,1944—1945,World War II,0,
23,Siege of Breslau ,1945,World War II,0,
24,Siege of Berlin ,1945,World War II,0,
25,Siege of Iwo Jima ,1945,World War II,0,
26,Siege of Okinawa ,1945,World War II,0,
27,Siege of Jerusalem ,1947–1948,1948 Arab–Israeli War,0,"Palestinian Arabs laid siege to the Jewish quarters of Jerusalem, but were driven back. Siege was resumed in May by regular Jordanian and Egyptian forces. Ended in armistice."
28,Siege of Changchun ,1948,Chinese Civil War,1,
29,Berlin Blockade ,1948–1949,World War II,0,"No military action, but the tactic to starve a city by cutting her supply lines is a feature of a siege. The famous Berlin Air Lift supplied the city with food, coal, medical supplies and other goods for nearly a year."
30,Siege of Dien Bien Phu ,1954,First Indochina War,0,"Vietnamese Viet Minh forces besieged French forces, effecting a final defeat on France's colonial occupation."
31,Siege of Jadotville ,1961,Congo Crisis,1,
32,Siege of Puerto Cabello ,1962,Venezuelan Civil War,1,
33,Siege of Erenköy ,1964,Turkish invasion of Cyprus,0,Turkish Cypriots holding out against attacking Greek and Greek Cypriot forces.
34,Encirclement of Jerusalem ,1967,Six-Day War,1,
35,Siege of Aleppo ,1980,Syrian Civil War,1,
36,Siege of Abadan ,1980–1981,Iran–Iraq War,0,
37,Siege of Beirut ,1982,Lebanese Civil War,1,
38,Siege of Basra ,1987,Iran–Iraq War,0,
39,Siege of Kijevo ,1991,Croatian War of Independence,1,
40,Siege of Vukovar ,1991,Croatian War of Independence,1,
41,Siege of Dubrovnik ,1991–1992,Croatian War of Independence,1,
42,Siege of Sarajevo ,1992–1996,Bosnian Civil War,1,
43,Siege of Bihać ,1992–1995,Bosnian Civil War,1,
44,Siege of Tkvarcheli ,1992–1993,Abkhazia Civil War,1,
45,Siege of Goražde ,1992–1995,Bosnian Civil War,1,
46,Battle of Junik ,1998,Kosovo Civil War,1,
47,Battle of Grozny ,1999–2000,Second Chechen War,0,
48,Siege of Kunduz ,2001,Afghanistan War,0,
49,Siege of the Church of the Nativity in Bethlehem ,2002,Second Intifada Civil War,1,
50,Siege of Monrovia ,2003,Second Liberian Civil War,1,
51,Siege of Sadr City ,2004–2008,Iraq War,0,
52,CIMIC-House ,2006,Iraq War,0,
53,Siege of Nahr el-Bared ,2007,Lebanon Crisis,1,"domestic unrest, not actually civil war"
54,Siege of the Gaza Strip ,2007–Present,Gaza Strip Civil War,1,really domestic unrest
55,Siege of Misrata ,2011,Libyan Civil War,1,
56,Siege of Daraa ,2011,Syrian Civil War,1,
57,Siege of Homs ,2011–2014,Syrian Civil War,1,
58,Siege of Baniyas ,2011,Syrian Civil War,1,
59,May 2011 Talkalakh siege ,2011,Syrian Civil War,1,
60,Siege of Rastan and Talbiseh ,2011,Syrian Civil War,1,
61,Siege of Hama ,2011,Syrian Civil War,1,
62,Siege of Latakia ,2011,Syrian Civil War,1,
63,Battle of Aleppo ,2012–Present,Syrian Civil War,1,
64,Siege of Menagh Air Base ,2012–2013,Syrian Civil War,1,
65,Siege of Bani Walid ,2012,Libyan Civil War,1,Factional violence in Libya 
66,Siege of Base 46,2012,Syrian Civil War,1,
67,Siege of Nubl and Al-Zahraa,2012-2016,Syrian Civil War,1,
68,Siege of Darayya and Muadamiyat,2012-2016,Syrian Civil War,1,
69,Siege of Madaya,2015—Present,Syrian Civil War,1,
70,First Siege of Wadi Deif ,2012–2013,Syrian Civil War,1,
71,Second Siege of Wadi Deif ,2014,Syrian Civil War,1,
72,Siege of Sloviansk ,2014,Ukranian Civil War,1,"War in Donbass, Russian invasion of Ukrain"
73,Siege of the Luhansk Border Base ,2014,Ukranian Civil War,1,"War in Donbass, Russian invasion of Ukraine"
74,Siege of Amirli ,2014,Iraqi Civil War,1,
75,Battle of Ilovaisk ,2014,Ukranian Civil War,1,"War in Donbass, Russian invasion of Ukrain"
76,Siege of Kobanî ,2014–2015,Syrian Civil War,1,
77,Siege of Al-Fu'ah-Kafriya ,2015–2016,Syrian Civil War,1,
78,Siege of Fallujah ,2016,Iraqi Civil War,1,
79,Siege of Mosul ,2017,Iraqi Civil War,1,
