"","WarName","n"
"1","1948 Arab–Israeli War",1
"2","Abkhazia Civil War",1
"3","Afghanistan War",1
"4","Bosnian Civil War",3
"5","Chinese Civil War",1
"6","Congo Crisis",1
"7","Croatian War of Independence",3
"8","First Indochina War",1
"9","Gaza Strip Civil War",1
"10","Iran–Iraq War",2
"11","Iraq War",2
"12","Iraqi Civil War",3
"13","Kosovo Civil War",1
"14","Lebanese Civil War",1
"15","Lebanon Crisis",1
"16","Libyan Civil War",2
"17","Second Chechen War",1
"18","Second Intifada Civil War",1
"19","Second Liberian Civil War",1
"20","Six-Day War",1
"21","Spanish Civil War",4
"22","Syrian Civil War",18
"23","Turkish invasion of Cyprus",1
"24","Ukranian Civil War",3
"25","Venezuelan Civil War",1
"26","World War I",5
"27","World War II",18
