,WarName,NumberSiege,Interstate_orCivil,StartDate,EndDate
1,1948 Arab–Israeli War,1,0,1948,1948
2,Abkhazia Civil War,1,1,1992,1993
3,Afghanistan War,1,0,2001,2014
4,Bosnian Civil War,3,1,1992,1995
5,Chinese Civil War,1,1,1946,1950
6,Congo Crisis,1,1,1960,1964
7,Croatian War of Independence,3,1,1991,1995
8,First Indochina War,1,0,1946,1954
9,Gaza Strip Civil War,1,1,2007,2017
10,Iran–Iraq War,2,0,1980,1988
11,Iraq War,2,0,2003,2011
12,Iraqi Civil War,3,1,2014,2017
13,Kosovo Civil War,1,1,1998,1999
14,Lebanese Civil War,1,1,1975,1990
15,Lebanon Crisis,1,1,2007,2007
16,Libyan Civil War,2,1,2011,2017
17,Second Chechen War,1,0,1999,2006
18,Second Intifada ,1,1,2000,2005
19,Second Liberian Civil War,1,1,1999,2003
20,Six-Day War,1,0,1967,1967
21,Spanish Civil War,4,1,1936,1939
22,Syrian Civil War,18,1,2011,2017
23,Turkish Invasion of Cyprus,1,0,1974,1974
24,Ukranian Civil War,3,1,2014,2017
25,Venezuelan Crisis,1,1,1962,1962
26,World War I,5,0,1914,1918
27,World War II,18,0,1939,1945
